DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
SUCRE,SINCELEJO,1423,2024,10,1949101,127,73,0,0,0,0,0,0
CESAR,LA GLORIA,1423,2024,10,2012601,0,0,0,0,0,0,0,0
CESAR,AGUACHICA,1423,2024,10,5081101,10,0,0,0,0,0,0,0
BOYACA,NOBSA,1423,2024,10,1475901,0,0,0,0,0,0,0,0
ANTIOQUIA,SONSON,1423,2024,10,1477101,2,0,0,0,0,0,0,0
QUINDIO,MONTENEGRO,1423,2024,10,2012301,15,0,0,0,0,0,0,0
VALLE DEL CAUCA,YUMBO,1423,2024,10,3141001,0,0,0,0,0,0,0,0
N. DE SANTANDER,DURANIA,1423,2024,10,1749001,0,0,0,0,0,0,0,0
QUINDIO,ARMENIA,1423,2024,10,3931101,4,0,0,0,0,0,0,0
NARIÑO,BARBACOAS,1423,2024,10,1474201,2,0,0,0,0,0,0,0
ANTIOQUIA,EL CARMEN DE VIBORAL,1423,2024,10,3432101,0,0,0,0,0,0,0,0
BOYACA,GUATEQUE,1423,2024,10,3861001,72,70,0,0,0,0,0,0
BOLIVAR,TURBACO,1423,2024,10,1478101,0,0,0,0,0,0,0,0
ANTIOQUIA,APARTADO,1423,2024,10,5433001,2,0,0,0,0,0,0,0
ANTIOQUIA,BELLO,1423,2024,10,1464101,0,0,0,0,0,0,0,0
CUNDINAMARCA,VILLETA,1423,2024,10,4466401,1,0,0,0,0,0,0,0
ANTIOQUIA,EL CARMEN DE VIBORAL,1423,2024,10,1477201,5,0,0,0,0,0,0,0
TOLIMA,FRESNO,1423,2024,10,2551101,0,0,0,0,0,0,0,0
MAGDALENA,CIENAGA,1423,2024,10,4532001,4,0,0,0,0,0,0,0
CESAR,CURUMANI,1423,2024,10,5251101,0,0,0,0,0,0,0,0
ANTIOQUIA,SAN JERONIMO,1423,2024,10,3381101,0,2,0,0,0,0,0,0
BOYACA,MONIQUIRA,1423,2024,10,3106101,1,0,1,1,1,0,0,0
CUNDINAMARCA,SOACHA,1423,2024,10,3473101,27,0,0,0,0,0,0,0
RISARALDA,DOSQUEBRADAS,1423,2024,10,1900401,3,0,0,0,0,0,0,0
ANTIOQUIA,SABANETA,1423,2024,10,3292001,0,0,0,0,0,0,0,0
N. DE SANTANDER,PAMPLONA,1423,2024,10,1471901,6,0,0,0,0,0,0,0
VALLE DEL CAUCA,ARGELIA,1423,2024,10,2012101,2,0,0,0,0,0,0,0
CHOCO,ISTMINA,1423,2024,10,1701001,0,4,0,0,0,0,0,0
CUNDINAMARCA,TOCANCIPA,1423,2024,10,1841301,1,0,0,0,0,0,0,0
BOGOTA,"BOGOTA, D.C.",1423,2024,10,3151301,170,2,0,0,0,0,0,0
META,MAPIRIPAN,1423,2024,10,2011101,0,0,0,0,0,0,0,0
ANTIOQUIA,RIONEGRO,1423,2024,10,1462002,23,0,0,0,0,0,0,0
N. DE SANTANDER,ABREGO,1423,2024,10,1823001,7,0,0,0,0,0,0,0
CUNDINAMARCA,GACHANCIPA,1423,2024,10,1855101,0,0,0,0,0,0,0,0
BOYACA,SAN MATEO,1423,2024,10,4492301,3,0,0,0,0,0,0,0
CUNDINAMARCA,GIRARDOT,1423,2024,10,1960201,3,0,0,0,0,0,0,0
CUNDINAMARCA,TENJO,1423,2024,10,2477401,11,1,0,0,0,0,0,0
LA GUAJIRA,RIOHACHA,1423,2024,10,5422001,20,0,0,0,0,0,0,0
SANTANDER,EL PLAYON,1423,2024,10,2472301,0,0,0,0,0,0,0,0
CESAR,AGUSTIN CODAZZI,1423,2024,10,1949101,20,0,0,0,0,0,0,0
CUNDINAMARCA,CAJICA,1423,2024,10,5433003,10,0,0,0,0,0,0,0
CAUCA,SAN SEBASTIAN,1423,2024,10,4370001,0,0,0,0,0,0,0,0
ANTIOQUIA,CAÑASGORDAS,1423,2024,10,1471101,7,0,0,0,0,0,0,0
BOYACA,MIRAFLORES,1423,2024,10,1464501,1,0,0,0,0,0,0,0
HUILA,SUAZA,1423,2024,10,2016102,0,0,0,0,0,0,0,0
CORDOBA,MONTERIA,1423,2024,10,2592002,0,0,0,0,0,0,0,0
ARAUCA,TAME,1423,2024,10,3869201,1,0,0,0,0,0,0,0
TOLIMA,CHAPARRAL,1423,2024,10,2862201,0,0,0,0,0,0,0,0
HUILA,PITALITO,1423,2024,10,2012101,1,0,0,0,0,0,0,0
CUNDINAMARCA,GUAYABAL DE SIQUIMA,1423,2024,10,1829902,0,12,0,0,0,0,0,0
VALLE DEL CAUCA,BUENAVENTURA,1423,2024,10,2463201,20,0,0,0,0,0,0,0
NARIÑO,CONTADERO,1423,2024,10,1721001,0,1,0,0,0,0,0,0
CALDAS,VITERBO,1423,2024,10,3381101,14,5,0,0,0,0,0,0
N. DE SANTANDER,CUCUTA,1423,2024,10,2551901,3,0,0,0,0,0,0,0
SUCRE,SAN LUIS DE SINCE,1423,2024,10,3869101,0,0,0,0,0,0,0,0
SANTANDER,GIRON,1423,2024,10,1711001,2,0,0,0,0,0,0,0
TOLIMA,MARIQUITA,1423,2024,10,3108401,2,0,0,0,0,0,0,0
CASANARE,YOPAL,1423,2024,10,5431201,2,0,0,0,0,0,0,0
CESAR,PELAYA,1423,2024,10,2015001,10,5,0,0,0,0,0,0
ARAUCA,TAME,1423,2024,10,1855301,1,0,0,0,0,0,0,0
BOLIVAR,MAGANGUE,1423,2024,10,3110401,9,0,0,0,0,0,0,0
CAUCA,CORINTO,1423,2024,10,2477401,5,0,0,0,0,0,0,0
ANTIOQUIA,BELLO,1423,2024,10,3331101,2,1,0,0,0,0,0,0
SANTANDER,SABANA DE TORRES,1423,2024,10,5331201,0,0,0,0,0,0,0,0
N. DE SANTANDER,EL ZULIA,1423,2024,10,1970001,2,0,0,0,0,0,0,0
ANTIOQUIA,LA CEJA,1423,2024,10,3282601,1,0,0,0,0,0,0,0
BOYACA,TUNJA,1423,2024,10,2811001,181,0,0,0,0,0,0,0
CAQUETA,SAN VICENTE DEL CAGUAN,1423,2024,10,3932901,0,0,0,0,0,0,0,0
RISARALDA,PEREIRA,1423,2024,10,4202901,5,0,0,0,0,0,0,0
QUINDIO,QUIMBAYA,1423,2024,10,1791201,4,0,0,0,0,0,0,0
QUINDIO,ARMENIA,1423,2024,10,4181101,1,0,0,0,0,0,0,0
BOLIVAR,CARTAGENA,1423,2024,10,5089902,0,0,0,0,0,0,0,0
TOLIMA,ALVARADO,1423,2024,10,5439004,0,0,0,0,0,0,0,0
N. DE SANTANDER,GRAMALOTE,1423,2024,10,1561301,0,0,0,0,0,0,0,0
CUNDINAMARCA,COTA,1423,2024,10,2465301,3,0,0,0,0,0,0,0
CAUCA,PUERTO TEJADA,1423,2024,10,1949902,0,0,0,0,0,0,0,0
ANTIOQUIA,LA CEJA,1423,2024,10,3108901,11,0,0,0,0,0,0,0
CESAR,SAN MARTIN,1423,2024,10,1970001,16,0,0,0,0,0,0,0
SANTANDER,BETULIA,1423,2024,10,1970001,0,0,0,0,0,0,0,0
ATLANTICO,BARRANQUILLA,1423,2024,10,3711001,64,6,0,0,0,0,0,0
CAUCA,LA VEGA,1423,2024,10,5711001,0,0,0,0,0,0,0,0
BOYACA,BELEN,1423,2024,10,1466401,1,0,0,0,0,0,0,0
SUCRE,SINCELEJO,1423,2024,10,1649903,0,0,0,0,0,0,0,0
ARAUCA,ARAUCA,1423,2024,10,3329003,3,1,0,0,0,0,0,0
META,RESTREPO,1423,2024,10,2014101,15,0,0,0,0,0,0,0
VALLE DEL CAUCA,CARTAGO,1423,2024,10,1463101,3,0,0,0,0,0,0,0
PUTUMAYO,MOCOA,1423,2024,10,2750001,7,1,0,0,0,0,0,0
N. DE SANTANDER,PAMPLONA,1423,2024,10,1463101,62,0,0,0,0,0,0,0
CAUCA,EL TAMBO,1423,2024,10,2472101,0,0,0,0,0,0,0,0
CUNDINAMARCA,TIBACUY,1423,2024,10,2853001,39,0,0,0,0,0,0,0
NARIÑO,IPIALES,1423,2024,10,1889001,73,28,2,2,2,0,0,0
BOYACA,SAN PABLO DE BORBUR,1423,2024,10,3561901,0,0,0,0,0,0,0,0
ANTIOQUIA,ENVIGADO,1423,2024,10,3139201,22,0,0,0,0,0,0,0
CUNDINAMARCA,GUACHETA,1423,2024,10,3475201,7,0,0,0,0,0,0,0
META,VILLAVICENCIO,1423,2024,10,3274001,5,0,1,1,1,0,0,0
CORDOBA,LORICA,1423,2024,10,1469001,0,0,0,0,0,0,0,0
CUNDINAMARCA,COGUA,1423,2024,10,1466101,4,0,0,0,0,0,0,0
ANTIOQUIA,YARUMAL,1423,2024,10,1471901,0,0,0,0,0,0,0,0
HUILA,YAGUARA,1423,2024,10,2873001,13,0,0,0,0,0,0,0
CORDOBA,CHINU,1423,2024,10,5259201,0,0,0,0,0,0,0,0
CUNDINAMARCA,CHIA,1423,2024,10,1889001,0,0,0,0,0,0,0,0
CAQUETA,ALBANIA,1423,2024,10,1692001,0,0,0,0,0,0,0,0
CUNDINAMARCA,ZIPAQUIRA,1423,2024,10,2015001,81,0,0,0,0,0,0,0
CALDAS,MANIZALES,1423,2024,10,1661501,1,0,0,0,0,0,0,0
MAGDALENA,ARACATACA,1423,2024,10,3619001,0,0,0,0,0,0,0,0
BOYACA,CHIQUINQUIRA,1423,2024,10,1681001,0,0,0,0,0,0,0,0
CAUCA,POPAYAN,1423,2024,10,3152101,1,0,0,0,0,0,0,0
CHOCO,QUIBDO,1423,2024,10,5163001,0,0,0,0,0,0,0,0
META,CASTILLA LA NUEVA,1423,2024,10,2011301,0,0,0,0,0,0,0,0
N. DE SANTANDER,CHINACOTA,1423,2024,10,2012301,0,0,0,0,0,0,0,0
ARAUCA,FORTUL,1423,2024,10,2862102,0,0,0,0,0,0,0,0
CUNDINAMARCA,SOACHA,1423,2024,10,3561101,12,0,0,0,0,0,0,0
ANTIOQUIA,GIRARDOTA,1423,2024,10,2014401,23,0,1,1,1,0,0,0
VALLE DEL CAUCA,BUGALAGRANDE,1423,2024,10,2012101,10,0,0,0,0,0,0,0
N. DE SANTANDER,LOS PATIOS,1423,2024,10,1841501,31,88,0,0,0,0,0,0
